"Name","noisy_layer_init_std","mean_regret","seed","env_id","_wandb"
"conbandit_combi1_0__1__2025-06-14_14-58","0.25","76.83094789425665","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-14_14-57","0.25","19.417524025292515","0","ContextualBandit-v2",""
"conbandit_combi1_0__5__2025-06-14_14-57","0.2","72.09345655228695","5","ContextualBandit-v2",""
"conbandit_combi1_0__4__2025-06-14_14-57","0.2","185.03781696622855","4","ContextualBandit-v2",""
"conbandit_combi1_0__3__2025-06-14_14-57","0.2","76.18446377255245","3","ContextualBandit-v2",""
"conbandit_combi1_0__2__2025-06-14_14-56","0.2","51.470011832861914","2","ContextualBandit-v2",""
"conbandit_combi1_0__1__2025-06-14_14-56","0.2","76.1206880200579","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-14_14-56","0.2","17.339085243452033","0","ContextualBandit-v2",""
"conbandit_combi1_0__5__2025-06-14_14-55","0.15000000000000002","79.93093717490945","5","ContextualBandit-v2",""
"conbandit_combi1_0__4__2025-06-14_14-55","0.15000000000000002","205.95640828685137","4","ContextualBandit-v2",""
"conbandit_combi1_0__3__2025-06-14_14-55","0.15000000000000002","75.18766180728409","3","ContextualBandit-v2",""
"conbandit_combi1_0__2__2025-06-14_14-54","0.15000000000000002","48.85554446996007","2","ContextualBandit-v2",""
"conbandit_combi1_0__1__2025-06-14_14-54","0.15000000000000002","73.12015640093828","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-14_14-54","0.15000000000000002","14.27746315573424","0","ContextualBandit-v2",""
"conbandit_combi1_0__5__2025-06-14_14-53","0.1","81.22558221065809","5","ContextualBandit-v2",""
"conbandit_combi1_0__4__2025-06-14_14-53","0.1","197.091232414751","4","ContextualBandit-v2",""
"conbandit_combi1_0__3__2025-06-14_14-52","0.1","269.09745603885466","3","ContextualBandit-v2",""
"conbandit_combi1_0__2__2025-06-14_14-52","0.1","48.65365880932395","2","ContextualBandit-v2",""
"conbandit_combi1_0__1__2025-06-14_14-52","0.1","84.03624779479264","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-14_14-52","0.1","13.585771028236886","0","ContextualBandit-v2",""
"conbandit_combi1_0__5__2025-06-14_14-51","0.05","100.80144994054196","5","ContextualBandit-v2",""
"conbandit_combi1_0__4__2025-06-14_14-51","0.05","228.8773750780381","4","ContextualBandit-v2",""
"conbandit_combi1_0__3__2025-06-14_14-51","0.05","265.52239822508204","3","ContextualBandit-v2",""
"conbandit_combi1_0__2__2025-06-14_14-50","0.05","52.70052709925471","2","ContextualBandit-v2",""
"conbandit_combi1_0__1__2025-06-14_14-50","0.05","79.35742054142077","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-14_14-50","0.05","10.664114262026148","0","ContextualBandit-v2",""
