"Step","noisy_net: true - exploration_rate","noisy_net: true - exploration_rate__MIN","noisy_net: true - exploration_rate__MAX","noisy_net: false - exploration_rate","noisy_net: false - exploration_rate__MIN","noisy_net: false - exploration_rate__MAX"
"277","","","","0.23501902081690082","0.2350190208169008","0.2350190208169008"
"278","","","","0.23431396375445013","0.2343139637544501","0.2343139637544501"
"279","","","","0.23361102186318672","0.23361102186318675","0.23361102186318675"
"280","0.17026315789473684","0.04","0.2575","0.2329101887975971","0.23291018879759717","0.23291018879759717"
"281","","","","0.23221145823120445","0.23221145823120437","0.23221145823120437"
"282","","","","0.23151482385651076","0.23151482385651076","0.23151482385651076"
"283","","","","0.2308202793849413","0.23082027938494123","0.23082027938494123"
"284","","","","0.23012781854678635","0.2301278185467864","0.2301278185467864"
"285","","","","0.22943743509114609","0.22943743509114606","0.22943743509114606"
"286","","","","0.22874912278587264","0.22874912278587262","0.22874912278587262"
"287","","","","0.22806287541751494","0.228062875417515","0.228062875417515"
"288","","","","0.2273786867912624","0.22737868679126244","0.22737868679126244"
"289","","","","0.2266965507308886","0.22669655073088865","0.22669655073088865"
"290","0.15947368421052635","0.017500000000000005","0.26999999999999996","0.22601646107869608","0.226016461078696","0.226016461078696"
"291","","","","0.22533841169545987","0.2253384116954599","0.2253384116954599"
"292","","","","0.22466239646037348","0.22466239646037353","0.22466239646037353"
"293","","","","0.22398840927099248","0.22398840927099242","0.22398840927099242"
"294","","","","0.2233164440431795","0.22331644404317944","0.22331644404317944"
"295","","","","0.2226464947110499","0.22264649471104989","0.22264649471104989"
"296","","","","0.22197855522691676","0.22197855522691673","0.22197855522691673"
"297","","","","0.22131261956123596","0.221312619561236","0.221312619561236"
"298","","","","0.22064868170255234","0.22064868170255228","0.22064868170255228"
"299","","","","0.21998673565744462","0.21998673565744462","0.21998673565744462"
"300","0.1455263157894737","0.010000000000000004","0.27749999999999997","0.21932677545047227","0.21932677545047227","0.21932677545047227"
"301","","","","0.21866879512412085","0.21866879512412085","0.21866879512412085"
"302","","","","0.21801278873874844","0.2180127887387485","0.2180127887387485"
"303","","","","0.2173587503725322","0.21735875037253224","0.21735875037253224"
"304","","","","0.21670667412141456","0.21670667412141464","0.21670667412141464"
"305","","","","0.21605655409905036","0.2160565540990504","0.2160565540990504"
"306","","","","0.21540838443675317","0.21540838443675323","0.21540838443675323"
"307","","","","0.21476215928344292","0.21476215928344297","0.21476215928344297"
"308","","","","0.2141178728055926","0.21411787280559264","0.21411787280559264"
"309","","","","0.2134755191871758","0.21347551918717586","0.21347551918717586"
"310","0.13421052631578947","0.0050000000000000044","0.2875","0.21283509262961434","0.21283509262961434","0.21283509262961434"
"311","","","","0.2121965873517255","0.2121965873517255","0.2121965873517255"
"312","","","","0.21155999758967028","0.2115599975896703","0.2115599975896703"
"313","","","","0.21092531759690128","0.2109253175969013","0.2109253175969013"
"314","","","","0.21029254164411063","0.2102925416441106","0.2102925416441106"
"315","","","","0.20966166401917827","0.20966166401917827","0.20966166401917827"
"316","","","","0.20903267902712072","0.20903267902712072","0.20903267902712072"
"317","","","","0.20840558099003934","0.20840558099003936","0.20840558099003936"
"318","","","","0.20778036424706928","0.20778036424706925","0.20778036424706925"
"319","","","","0.20715702315432802","0.20715702315432805","0.20715702315432805"
"320","0.12789473684210528","0.0050000000000000044","0.27749999999999997","0.20653555208486507","0.20653555208486507","0.20653555208486507"
"321","","","","0.20591594542861055","0.20591594542861047","0.20591594542861047"
"322","","","","0.20529819759232468","0.20529819759232465","0.20529819759232465"
"323","","","","0.20468230299954768","0.20468230299954768","0.20468230299954768"
"324","","","","0.2040682560905491","0.20406825609054904","0.20406825609054904"
"325","","","","0.20345605132227737","0.2034560513222774","0.2034560513222774"
"326","","","","0.20284568316831061","0.20284568316831056","0.20284568316831056"
"327","","","","0.2022371461188057","0.20223714611880564","0.20223714611880564"
"328","","","","0.2016304346804492","0.20163043468044922","0.20163043468044922"
"329","","","","0.20102554337640788","0.20102554337640788","0.20102554337640788"
"330","0.12486842105263159","0.0050000000000000044","0.31249999999999994","0.20042246674627864","0.20042246674627864","0.20042246674627864"
"331","","","","0.19982119934603976","0.1998211993460398","0.1998211993460398"
"332","","","","0.1992217357480017","0.1992217357480017","0.1992217357480017"
"333","","","","0.19862407054075776","0.1986240705407577","0.1986240705407577"
"334","","","","0.1980281983291354","0.19802819832913543","0.19802819832913543"
"335","","","","0.19743411373414804","0.19743411373414801","0.19743411373414801"
"336","","","","0.1968418113929456","0.19684181139294557","0.19684181139294557"
"337","","","","0.19625128595876667","0.19625128595876673","0.19625128595876673"
"338","","","","0.19566253210089044","0.19566253210089044","0.19566253210089044"
"339","","","","0.19507554450458775","0.19507554450458775","0.19507554450458775"
"340","0.12815789473684208","0.0125","0.3375","0.194490317871074","0.194490317871074","0.194490317871074"
"341","","","","0.19390684691746077","0.19390684691746077","0.19390684691746077"
"342","","","","0.19332512637670837","0.19332512637670837","0.19332512637670837"
"343","","","","0.19274515099757825","0.19274515099757825","0.19274515099757825"
"344","","","","0.19216691554458548","0.1921669155445855","0.1921669155445855"
"345","","","","0.19159041479795172","0.19159041479795175","0.19159041479795175"
"346","","","","0.19101564355355788","0.19101564355355788","0.19101564355355788"
"347","","","","0.19044259662289725","0.1904425966228972","0.1904425966228972"
"348","","","","0.18987126883302846","0.18987126883302852","0.18987126883302852"
"349","","","","0.18930165502652943","0.18930165502652943","0.18930165502652943"
"350","0.12999999999999998","0.0050000000000000044","0.34750000000000003","0.18873375006144985","0.18873375006144985","0.18873375006144985"
"351","","","","0.18816754881126546","0.1881675488112655","0.1881675488112655"
"352","","","","0.1876030461648317","0.1876030461648317","0.1876030461648317"
"353","","","","0.18704023702633726","0.1870402370263372","0.1870402370263372"
"354","","","","0.18647911631525818","0.1864791163152582","0.1864791163152582"
"355","","","","0.1859196789663124","0.18591967896631242","0.18591967896631242"
"356","","","","0.18536191992941345","0.18536191992941348","0.18536191992941348"
"357","","","","0.18480583416962523","0.18480583416962523","0.18480583416962523"
"358","","","","0.18425141666711636","0.18425141666711636","0.18425141666711636"
"359","","","","0.18369866241711505","0.18369866241711502","0.18369866241711502"
"360","0.12723684210526312","0","0.3450000000000001","0.18314756642986368","0.18314756642986368","0.18314756642986368"
"361","","","","0.1825981237305741","0.1825981237305741","0.1825981237305741"
"362","","","","0.1820503293593823","0.18205032935938237","0.18205032935938237"
"363","","","","0.18150417837130425","0.18150417837130423","0.18150417837130423"
"364","","","","0.1809596658361903","0.1809596658361903","0.1809596658361903"
"365","","","","0.18041678683868173","0.18041678683868173","0.18041678683868173"
"366","","","","0.1798755364781657","0.17987553647816568","0.17987553647816568"
"367","","","","0.1793359098687312","0.17933590986873119","0.17933590986873119"
"368","","","","0.17879790213912503","0.178797902139125","0.178797902139125"
"369","","","","0.17826150843270766","0.17826150843270763","0.17826150843270763"
"370","0.125","0","0.35","0.17772672390740946","0.1777267239074095","0.1777267239074095"
"371","","","","0.17719354373568724","0.17719354373568727","0.17719354373568727"
"372","","","","0.17666196310448018","0.1766619631044802","0.1766619631044802"
