"Name","batch_size","mean_regret","dynamic_rate","seed","env_id","memory_size","_wandb"
"conbandit_combi1_0__0__2025-06-18_15-31","50","35.91535949707031","1000","0","NNBandit-v0","1500",""
"conbandit_combi1_0__5__2025-06-18_15-31","50","34.631431579589844","1000","5","NNBandit-v0","1000",""
"conbandit_combi1_0__4__2025-06-18_15-31","50","55.528358459472656","1000","4","NNBandit-v0","1000",""
"conbandit_combi1_0__3__2025-06-18_15-31","50","61.987327575683594","1000","3","NNBandit-v0","1000",""
"conbandit_combi1_0__2__2025-06-18_15-30","50","41.19215774536133","1000","2","NNBandit-v0","1000",""
"conbandit_combi1_0__1__2025-06-18_15-30","50","26.71845436096191","1000","1","NNBandit-v0","1000",""
"conbandit_combi1_0__0__2025-06-18_15-30","50","35.75395202636719","1000","0","NNBandit-v0","1000",""
"conbandit_combi1_0__5__2025-06-18_15-29","50","34.631431579589844","1000","5","NNBandit-v0","500",""
"conbandit_combi1_0__4__2025-06-18_15-29","50","55.02614212036133","1000","4","NNBandit-v0","500",""
"conbandit_combi1_0__3__2025-06-18_15-29","50","62.270172119140625","1000","3","NNBandit-v0","500",""
"conbandit_combi1_0__2__2025-06-18_15-29","50","41.07767868041992","1000","2","NNBandit-v0","500",""
"conbandit_combi1_0__1__2025-06-18_15-28","50","26.879602432250977","1000","1","NNBandit-v0","500",""
"conbandit_combi1_0__0__2025-06-18_15-28","50","35.90667724609375","1000","0","NNBandit-v0","500",""
"conbandit_combi1_0__5__2025-06-18_15-28","50","64.04742218612829","1000","5","ContextualBandit-v2","2000",""
"conbandit_combi1_0__4__2025-06-18_15-28","50","246.92172460292832","1000","4","ContextualBandit-v2","2000",""
"conbandit_combi1_0__3__2025-06-18_15-27","50","87.47122152901682","1000","3","ContextualBandit-v2","2000",""
"conbandit_combi1_0__2__2025-06-18_15-27","50","160.6638027163043","1000","2","ContextualBandit-v2","2000",""
"conbandit_combi1_0__1__2025-06-18_15-27","50","158.4687522333363","1000","1","ContextualBandit-v2","2000",""
"conbandit_combi1_0__0__2025-06-18_15-27","50","101.08346451323864","1000","0","ContextualBandit-v2","2000",""
"conbandit_combi1_0__5__2025-06-18_15-26","50","63.82988372634069","1000","5","ContextualBandit-v2","1500",""
"conbandit_combi1_0__4__2025-06-18_15-26","50","246.7280131472302","1000","4","ContextualBandit-v2","1500",""
"conbandit_combi1_0__3__2025-06-18_15-26","50","87.2843423229809","1000","3","ContextualBandit-v2","1500",""
"conbandit_combi1_0__2__2025-06-18_15-26","50","161.22832437430756","1000","2","ContextualBandit-v2","1500",""
"conbandit_combi1_0__1__2025-06-18_15-25","50","158.06338962736274","1000","1","ContextualBandit-v2","1500",""
