"Step","conbandit_combi1_0__5820__2025-06-17_16-53 - exploration_rate","conbandit_combi1_0__5820__2025-06-17_16-53 - exploration_rate__MIN","conbandit_combi1_0__5820__2025-06-17_16-53 - exploration_rate__MAX","conbandit_combi1_0__7324__2025-06-17_16-52 - exploration_rate","conbandit_combi1_0__7324__2025-06-17_16-52 - exploration_rate__MIN","conbandit_combi1_0__7324__2025-06-17_16-52 - exploration_rate__MAX","conbandit_combi1_0__6341__2025-06-17_16-51 - exploration_rate","conbandit_combi1_0__6341__2025-06-17_16-51 - exploration_rate__MIN","conbandit_combi1_0__6341__2025-06-17_16-51 - exploration_rate__MAX"
"204","0.2780225747719398","0.2780225747719398","0.2780225747719398","0.3316129032258069","0.3316129032258069","0.3316129032258069","0.2802268593198346","0.2802268593198346","0.2802268593198346"
"205","0.277188507047624","0.277188507047624","0.277188507047624","0.33032258064516173","0.33032258064516173","0.33032258064516173","0.2793861787418751","0.2793861787418751","0.2793861787418751"
"206","0.2763569415264811","0.2763569415264811","0.2763569415264811","0.3290322580645166","0.3290322580645166","0.3290322580645166","0.27854802020564945","0.27854802020564945","0.27854802020564945"
"207","0.27552787070190166","0.27552787070190166","0.27552787070190166","0.3277419354838714","0.3277419354838714","0.3277419354838714","0.2777123761450325","0.2777123761450325","0.2777123761450325"
"208","0.27470128708979596","0.27470128708979596","0.27470128708979596","0.3264516129032263","0.3264516129032263","0.3264516129032263","0.27687923901659744","0.27687923901659744","0.27687923901659744"
"209","0.27387718322852656","0.27387718322852656","0.27387718322852656","0.3251612903225811","0.3251612903225811","0.3251612903225811","0.27604860129954767","0.27604860129954767","0.27604860129954767"
"210","0.273055551678841","0.273055551678841","0.273055551678841","0.32387096774193597","0.32387096774193597","0.32387096774193597","0.27522045549564905","0.27522045549564905","0.27522045549564905"
"211","0.2722363850238045","0.2722363850238045","0.2722363850238045","0.3225806451612908","0.3225806451612908","0.3225806451612908","0.2743947941291621","0.2743947941291621","0.2743947941291621"
"212","0.27141967586873306","0.27141967586873306","0.27141967586873306","0.32129032258064566","0.32129032258064566","0.32129032258064566","0.27357160974677464","0.27357160974677464","0.27357160974677464"
"213","0.2706054168411269","0.2706054168411269","0.2706054168411269","0.3200000000000005","0.3200000000000005","0.3200000000000005","0.2727508949175343","0.2727508949175343","0.2727508949175343"
"214","0.2697936005906035","0.2697936005906035","0.2697936005906035","0.31870967741935535","0.31870967741935535","0.31870967741935535","0.2719326422327817","0.2719326422327817","0.2719326422327817"
"215","0.2689842197888317","0.2689842197888317","0.2689842197888317","0.3174193548387102","0.3174193548387102","0.3174193548387102","0.27111684430608335","0.27111684430608335","0.27111684430608335"
"216","0.2681772671294652","0.2681772671294652","0.2681772671294652","0.31612903225806505","0.31612903225806505","0.31612903225806505","0.2703034937731651","0.2703034937731651","0.2703034937731651"
"217","0.2673727353280768","0.2673727353280768","0.2673727353280768","0.3148387096774199","0.3148387096774199","0.3148387096774199","0.2694925832918456","0.2694925832918456","0.2694925832918456"
