"Name","batch_size","mean_regret","env_id","memory_size","dynamic_rate","seed","_wandb"
"conbandit_combi1_0__5__2025-06-18_14-07","10","65.34358215332031","NNBandit-v0","2000","200","5",""
"conbandit_combi1_0__4__2025-06-18_14-07","10","50.98937225341797","NNBandit-v0","2000","200","4",""
"conbandit_combi1_0__3__2025-06-18_14-07","10","104.65895080566406","NNBandit-v0","2000","200","3",""
"conbandit_combi1_0__2__2025-06-18_14-06","10","92.94232177734376","NNBandit-v0","2000","200","2",""
"conbandit_combi1_0__1__2025-06-18_14-06","10","20.185880661010746","NNBandit-v0","2000","200","1",""
"conbandit_combi1_0__0__2025-06-18_14-06","10","38.44451141357422","NNBandit-v0","2000","200","0",""
"conbandit_combi1_0__5__2025-06-18_14-06","10","65.04689025878906","NNBandit-v0","1500","200","5",""
"conbandit_combi1_0__4__2025-06-18_14-06","10","51.01240921020508","NNBandit-v0","1500","200","4",""
"conbandit_combi1_0__3__2025-06-18_14-05","10","104.59513092041016","NNBandit-v0","1500","200","3",""
"conbandit_combi1_0__2__2025-06-18_14-05","10","92.97779846191406","NNBandit-v0","1500","200","2",""
"conbandit_combi1_0__1__2025-06-18_14-05","10","20.185880661010746","NNBandit-v0","1500","200","1",""
"conbandit_combi1_0__0__2025-06-18_14-05","10","38.460227966308594","NNBandit-v0","1500","200","0",""
"conbandit_combi1_0__5__2025-06-18_14-05","10","63.046478271484375","NNBandit-v0","1000","200","5",""
"conbandit_combi1_0__4__2025-06-18_14-05","10","50.4360466003418","NNBandit-v0","1000","200","4",""
"conbandit_combi1_0__3__2025-06-18_14-04","10","99.47076416015624","NNBandit-v0","1000","200","3",""
"conbandit_combi1_0__2__2025-06-18_14-04","10","93.31967163085938","NNBandit-v0","1000","200","2",""
"conbandit_combi1_0__1__2025-06-18_14-04","10","20.185880661010746","NNBandit-v0","1000","200","1",""
