"Name","hidden_layer_size","mean_regret","env_id","noisy_net","seed","_wandb"
"conbandit_combi1_0__0__2025-06-19_17-37","60","195.969","MNISTBandit-v0","true","0",""
"conbandit_combi1_0__3__2025-06-19_17-37","50","186.306","MNISTBandit-v0","false","3",""
"conbandit_combi1_0__2__2025-06-19_17-37","50","281.756","MNISTBandit-v0","false","2",""
"conbandit_combi1_0__1__2025-06-19_17-37","50","304.528","MNISTBandit-v0","false","1",""
"conbandit_combi1_0__0__2025-06-19_17-37","50","156.618","MNISTBandit-v0","false","0",""
"conbandit_combi1_0__3__2025-06-19_17-36","50","213.491","MNISTBandit-v0","true","3",""
"conbandit_combi1_0__2__2025-06-19_17-36","50","279.342","MNISTBandit-v0","true","2",""
"conbandit_combi1_0__1__2025-06-19_17-36","50","209.501","MNISTBandit-v0","true","1",""
"conbandit_combi1_0__0__2025-06-19_17-35","50","251.311","MNISTBandit-v0","true","0",""
"conbandit_combi1_0__3__2025-06-19_17-35","40","173.015","MNISTBandit-v0","false","3",""
"conbandit_combi1_0__2__2025-06-19_17-35","40","295.243","MNISTBandit-v0","false","2",""
"conbandit_combi1_0__1__2025-06-19_17-35","40","299.169","MNISTBandit-v0","false","1",""
"conbandit_combi1_0__0__2025-06-19_17-35","40","304.405","MNISTBandit-v0","false","0",""
"conbandit_combi1_0__3__2025-06-19_17-35","40","184.455","MNISTBandit-v0","true","3",""
"conbandit_combi1_0__2__2025-06-19_17-34","40","266.373","MNISTBandit-v0","true","2",""
"conbandit_combi1_0__1__2025-06-19_17-34","40","243.57","MNISTBandit-v0","true","1",""
"conbandit_combi1_0__0__2025-06-19_17-34","40","226.255","MNISTBandit-v0","true","0",""
"conbandit_combi1_0__3__2025-06-19_17-34","30","319.779","MNISTBandit-v0","false","3",""
"conbandit_combi1_0__2__2025-06-19_17-33","30","290.984","MNISTBandit-v0","false","2",""
"conbandit_combi1_0__1__2025-06-19_17-33","30","306.693","MNISTBandit-v0","false","1",""
"conbandit_combi1_0__0__2025-06-19_17-33","30","312.12","MNISTBandit-v0","false","0",""
"conbandit_combi1_0__3__2025-06-19_17-33","30","282.951","MNISTBandit-v0","true","3",""
"conbandit_combi1_0__2__2025-06-19_17-33","30","401.557","MNISTBandit-v0","true","2",""
"conbandit_combi1_0__1__2025-06-19_17-32","30","323.625","MNISTBandit-v0","true","1",""
"conbandit_combi1_0__0__2025-06-19_17-32","30","170.51","MNISTBandit-v0","true","0",""
"conbandit_combi1_0__3__2025-06-19_17-32","20","349.944","MNISTBandit-v0","false","3",""
"conbandit_combi1_0__2__2025-06-19_17-32","20","324.7","MNISTBandit-v0","false","2",""
"conbandit_combi1_0__1__2025-06-19_17-31","20","268.635","MNISTBandit-v0","false","1",""
"conbandit_combi1_0__0__2025-06-19_17-31","20","289.6","MNISTBandit-v0","false","0",""
"conbandit_combi1_0__3__2025-06-19_17-31","20","247.036","MNISTBandit-v0","true","3",""
"conbandit_combi1_0__2__2025-06-19_17-31","20","396.197","MNISTBandit-v0","true","2",""
"conbandit_combi1_0__1__2025-06-19_17-31","20","201.558","MNISTBandit-v0","true","1",""
